word
sad
depressed
hopeless
tired
worthless
cry
lonely
angry
guilty
empty
fatigue
pain
hurt
low
down
helpless
anxious
fear
struggle
stress
numb
broken
isolated
despair
exhausted
burden
overwhelmed
tears
lost
withdrawn
